P-CAD Pick and Place Locations     D:\lay-data\...\JS203-16-C01_02.pcb

======================================================================

Report Origin = (0.0, 0.0)
Units used = mil
RefDes          PatternName     Type            Value           Layer           LocationX  LocationY  Rotation
R26             R0603Q          R0603Q          10K             Bottom             16530.0     7565.0    270.0
R27             R0603Q          R0603Q          200R            Bottom             16915.0     8530.0      0.0
R28             R0603Q          R0603Q          10K             Bottom             14685.0     7930.0    180.0
R29             R0603Q          R0603Q          1K              Bottom             14685.0     8010.0      0.0
R30             R0603Q          R0603Q          200R            Bottom             11865.0     7965.0      0.0
R31             R0603Q          R0603Q          200R            Bottom             11865.0     7785.0      0.0
R32             R0603Q          R0603Q          200R            Bottom             12625.0     7935.0     90.0
R33             R0603Q          R0603Q          200R            Bottom             12625.0     7815.0    270.0
R34             R0603Q          R0603Q          200R            Bottom             13415.0     7935.0     90.0
R35             R0603Q          R0603Q          200R            Bottom             13415.0     7810.0    270.0
R36             R0603Q          R0603Q          200R            Bottom             14200.0     7935.0     90.0
R37             R0603Q          R0603Q          200R            Bottom             14200.0     7810.0    270.0
R38             R0603Q          R0603Q          10K             Bottom             14645.0     7460.0      0.0
R39             R0603Q          R0603Q          1K              Bottom             14645.0     7535.0    180.0
R40             R0603Q          R0603Q          200R            Bottom             11840.0     7345.0     90.0
R41             R0603Q          R0603Q          200R            Bottom             11840.0     7220.0    270.0
R42             R0603Q          R0603Q          200R            Bottom             12625.0     7345.0     90.0
R43             R0603Q          R0603Q          200R            Bottom             12625.0     7220.0    270.0
R44             R0603Q          R0603Q          200R            Bottom             13415.0     7345.0     90.0
R45             R0603Q          R0603Q          200R            Bottom             13415.0     7220.0    270.0
R46             R0603Q          R0603Q          200R            Bottom             14200.0     7345.0     90.0
R47             R0603Q          R0603Q          200R            Bottom             14200.0     7220.0    270.0
R48             R0603Q          R0603Q          10K             Bottom             14655.0     6745.0    180.0
R49             R0603Q          R0603Q          1K              Bottom             14655.0     6825.0      0.0
R50             R0603Q          R0603Q          200R            Bottom             11840.0     6755.0     90.0
R51             R0603Q          R0603Q          200R            Bottom             11840.0     6630.0    270.0
R52             R0603Q          R0603Q          200R            Bottom             12625.0     6755.0     90.0
R53             R0603Q          R0603Q          200R            Bottom             12625.0     6630.0    270.0
R54             R0603Q          R0603Q          200R            Bottom             13415.0     6755.0     90.0
R55             R0603Q          R0603Q          200R            Bottom             13415.0     6630.0    270.0
R56             R0603Q          R0603Q          200R            Bottom             14200.0     6755.0     90.0
R57             R0603Q          R0603Q          200R            Bottom             14200.0     6630.0    270.0
R58             R0603Q          R0603Q          10K             Bottom             14655.0     6485.0      0.0
R59             R0603Q          R0603Q          1K              Bottom             14655.0     6565.0    180.0
R60             R0603Q          R0603Q          200R            Bottom             11840.0     6165.0     90.0
R61             R0603Q          R0603Q          200R            Bottom             11840.0     6040.0    270.0
R62             R0603Q          R0603Q          200R            Bottom             12625.0     6165.0     90.0
R63             R0603Q          R0603Q          200R            Bottom             12625.0     6040.0    270.0
R64             R0603Q          R0603Q          200R            Bottom             13415.0     6165.0     90.0
R65             R0603Q          R0603Q          200R            Bottom             13415.0     6040.0    270.0
R66             R0603Q          R0603Q          200R            Bottom             14200.0     6165.0     90.0
R67             R0603Q          R0603Q          200R            Bottom             14200.0     6040.0    270.0
R68             R0603Q          R0603Q          10K             Bottom             14680.0     5460.0    180.0
R69             R0603Q          R0603Q          1K              Bottom             14680.0     5540.0      0.0
R70             R0603Q          R0603Q          200R            Bottom             11865.0     5555.0      0.0
R71             R0603Q          R0603Q          200R            Bottom             11865.0     5295.0      0.0
R72             R0603Q          R0603Q          200R            Bottom             12625.0     5575.0     90.0
R73             R0603Q          R0603Q          200R            Bottom             12625.0     5450.0    270.0
R74             R0603Q          R0603Q          200R            Bottom             13440.0     5600.0      0.0
R75             R0603Q          R0603Q          200R            Bottom             13440.0     5425.0      0.0
R76             R0603Q          R0603Q          200R            Bottom             14200.0     5575.0     90.0
R77             R0603Q          R0603Q          200R            Bottom             14200.0     5450.0    270.0
R78             R0603Q          R0603Q          10K             Bottom             16250.0     5360.0      0.0
R79             R0603Q          R0603Q          1K              Bottom             16250.0     5440.0    180.0
R80             R0603Q          R0603Q          200R            Bottom             15355.0     7135.0      0.0
R81             R0603Q          R0603Q          200R            Bottom             15475.0     7135.0    180.0
R82             R0603Q          R0603Q          200R            Bottom             15350.0     5990.0      0.0
R83             R0603Q          R0603Q          200R            Bottom             15475.0     5990.0    180.0
R84             R0603Q          R0603Q          200R            Bottom             14955.0     5480.0      0.0
R85             R0603Q          R0603Q          200R            Bottom             15085.0     5480.0    180.0
R86             R0603Q          R0603Q          200R            Bottom             15745.0     5475.0      0.0
R87             R0603Q          R0603Q          200R            Bottom             15870.0     5475.0    180.0
R88             R0603Q          R0603Q          10K             Bottom             16095.0     7725.0    180.0
R89             R0603Q          R0603Q          1K              Bottom             16095.0     7805.0      0.0
R90             R0603Q          R0603Q          200R            Bottom             15335.0     7700.0      0.0
R91             R0603Q          R0603Q          200R            Bottom             15490.0     7700.0    180.0
R92             R0603Q          R0603Q          200R            Bottom             14885.0     7240.0     90.0
R93             R0603Q          R0603Q          200R            Bottom             14885.0     7095.0    270.0
R94             R0603Q          R0603Q          200R            Bottom             15345.0     6550.0      0.0
R95             R0603Q          R0603Q          200R            Bottom             15480.0     6550.0    180.0
R96             R0603Q          R0603Q          200R            Bottom             16020.0     7240.0     90.0
R97             R0603Q          R0603Q          200R            Bottom             16020.0     7090.0    270.0
R98             R0603Q          R0603Q          10K             Bottom             16175.0     7995.0    180.0
R99             R0603Q          R0603Q          1K              Bottom             16175.0     7915.0      0.0
R100            R0603Q          R0603Q          200R            Bottom             16680.0     7935.0     90.0
R101            R0603Q          R0603Q          200R            Bottom             16680.0     7810.0    270.0
R102            R0603Q          R0603Q          200R            Bottom             16680.0     7150.0     90.0
R103            R0603Q          R0603Q          200R            Bottom             16680.0     7025.0    270.0
R104            R0603Q          R0603Q          200R            Bottom             16680.0     6365.0     90.0
R105            R0603Q          R0603Q          200R            Bottom             16680.0     6240.0    270.0
R106            R0603Q          R0603Q          200R            Bottom             16680.0     5575.0     90.0
R107            R0603Q          R0603Q          200R            Bottom             16680.0     5450.0    270.0
R108            R0603Q          R0603Q          10K             Bottom             15520.0     5380.0      0.0
R109            R0603Q          R0603Q          1K              Bottom             15520.0     5460.0    180.0
R110            R0603Q          R0603Q          200R            Bottom             11715.0     7855.0    180.0
R111            R0603Q          R0603Q          200R            Bottom             11840.0     7855.0    180.0
R112            R0603Q          R0603Q          200R            Bottom             11705.0     5385.0      0.0
R113            R0603Q          R0603Q          200R            Bottom             11915.0     5385.0    180.0
R114            R0603Q          R0603Q          200R            Bottom             13295.0     5490.0    180.0
R115            R0603Q          R0603Q          200R            Bottom             13420.0     5490.0    180.0
R116            R0603Q          R0603Q          200R            Bottom             15475.0     6155.0      0.0
R117            R0603Q          R0603Q          200R            Bottom             15475.0     5895.0      0.0
R118            R0603Q          R0603Q          10K             Bottom             14290.0     8600.0    180.0
R119            R0603Q          R0603Q          10K             Bottom             14290.0     8535.0    180.0
U1              TQFP64          TQFP64          PIC24EP64GP206  Bottom             16128.9     5863.1    270.0
U2              SSOP20T         SSOP20T         74HC541/TSSOP20 Bottom             16320.1     7265.0    270.0
U3              SSOP20T         SSOP20T         74HC377/TSSOP20 Bottom             12175.1     7300.0    270.0
U4              SSOP20T         SSOP20T         74HC377/TSSOP20 Bottom             12235.1     7905.0    270.0
U5              SSOP20T         SSOP20T         74HC377/TSSOP20 Bottom             13010.1     7580.0    270.0
U6              SSOP20T         SSOP20T         74HC377/TSSOP20 Bottom             12980.1     6400.0    270.0
U7              SSOP20T         SSOP20T         74HC377/TSSOP20 Bottom             14755.1     5990.0    270.0
U8              SSOP20T         SSOP20T         74HC377/TSSOP20 Bottom             16015.1     6575.0    270.0
U9              SSOP20T         SSOP20T         74HC377/TSSOP20 Bottom             12195.1     5790.0    270.0
U10             SSOP20T         SSOP20T         74HC541/TSSOP20 Bottom             14915.1     7860.0    270.0
U11             SOT223Q         SOT223Q         LM1117          Bottom             16070.0     8600.0    270.0
